bg_geoid,lat,lng,population,acs_vintage,jobs,lodes_vintage
170310317002,41.9662369,-87.6632766,1445,ACS 2020-2024 5-year,148,LODES8 2023
170310317003,41.9644337,-87.6631048,1327,ACS 2020-2024 5-year,469,LODES8 2023
170310317004,41.9626145,-87.6628646,943,ACS 2020-2024 5-year,154,LODES8 2023
170310318001,41.9670114,-87.6706209,1765,ACS 2020-2024 5-year,905,LODES8 2023
170310319001,41.9643036,-87.6702958,1050,ACS 2020-2024 5-year,246,LODES8 2023
170310319002,41.9624847,-87.6700772,1439,ACS 2020-2024 5-year,319,LODES8 2023
170310321001,41.9602585,-87.6519944,1261,ACS 2020-2024 5-year,281,LODES8 2023
170310321002,41.9598772,-87.6550977,1173,ACS 2020-2024 5-year,76,LODES8 2023
170310321003,41.9568329,-87.6547062,2196,ACS 2020-2024 5-year,170,LODES8 2023
170310321004,41.9578578,-87.6512824,1591,ACS 2020-2024 5-year,42,LODES8 2023
170310321005,41.9557445,-87.6519928,1221,ACS 2020-2024 5-year,1392,LODES8 2023
170310401001,41.9856223,-87.6828856,1639,ACS 2020-2024 5-year,956,LODES8 2023
170310401002,41.9769701,-87.6800008,1351,ACS 2020-2024 5-year,78,LODES8 2023
170310401003,41.9776445,-87.6855899,997,ACS 2020-2024 5-year,100,LODES8 2023
170310402011,41.9725027,-87.6906194,1481,ACS 2020-2024 5-year,274,LODES8 2023
170310402012,41.9748726,-87.6954747,2192,ACS 2020-2024 5-year,2917,LODES8 2023
170310402013,41.9698222,-87.6948793,1406,ACS 2020-2024 5-year,620,LODES8 2023
170310402014,41.9718762,-87.6947943,2004,ACS 2020-2024 5-year,50,LODES8 2023
170310402021,41.9822177,-87.6960638,675,ACS 2020-2024 5-year,52,LODES8 2023
170310402022,41.9777907,-87.6948334,2996,ACS 2020-2024 5-year,76,LODES8 2023
170310402023,41.9802548,-87.6956503,874,ACS 2020-2024 5-year,29,LODES8 2023
170310402024,41.9804715,-87.6910666,2653,ACS 2020-2024 5-year,346,LODES8 2023
170310403001,41.9809501,-87.7020155,1147,ACS 2020-2024 5-year,26,LODES8 2023
170310403002,41.9781402,-87.7030164,1069,ACS 2020-2024 5-year,76,LODES8 2023
170310403003,41.9730682,-87.7009718,775,ACS 2020-2024 5-year,343,LODES8 2023
170310404011,41.9738388,-87.6874306,895,ACS 2020-2024 5-year,73,LODES8 2023
170310404012,41.9706381,-87.6873913,729,ACS 2020-2024 5-year,198,LODES8 2023
170310404013,41.9745775,-87.6853888,654,ACS 2020-2024 5-year,13,LODES8 2023
170310404014,41.9703805,-87.6842125,1163,ACS 2020-2024 5-year,41,LODES8 2023
170310404021,41.9747009,-87.6761127,355,ACS 2020-2024 5-year,150,LODES8 2023
170310404022,41.9745860,-87.6809973,1006,ACS 2020-2024 5-year,19,LODES8 2023
170310404023,41.9708403,-87.6790418,766,ACS 2020-2024 5-year,321,LODES8 2023
170310404024,41.9713153,-87.6815448,993,ACS 2020-2024 5-year,13,LODES8 2023
170310404025,41.9710607,-87.6759899,1089,ACS 2020-2024 5-year,331,LODES8 2023
170310406001,41.9670999,-87.6806413,704,ACS 2020-2024 5-year,64,LODES8 2023
170310406002,41.9657727,-87.6847285,874,ACS 2020-2024 5-year,177,LODES8 2023
170310406003,41.9675425,-87.6859481,943,ACS 2020-2024 5-year,632,LODES8 2023
170310407001,41.9667253,-87.6900706,1005,ACS 2020-2024 5-year,122,LODES8 2023
170310407002,41.9667031,-87.6925178,939,ACS 2020-2024 5-year,214,LODES8 2023
170310407003,41.9665954,-87.6952400,881,ACS 2020-2024 5-year,135,LODES8 2023
170310407004,41.9674071,-87.6974413,856,ACS 2020-2024 5-year,259,LODES8 2023
170310408001,41.9630707,-87.6905696,894,ACS 2020-2024 5-year,122,LODES8 2023
170310408002,41.9633173,-87.6941980,776,ACS 2020-2024 5-year,650,LODES8 2023
170310409001,41.9640955,-87.6838498,1330,ACS 2020-2024 5-year,580,LODES8 2023
170310409002,41.9622947,-87.6838589,937,ACS 2020-2024 5-year,55,LODES8 2023
170310501001,41.9592567,-87.6755593,793,ACS 2020-2024 5-year,402,LODES8 2023
170310501002,41.9567959,-87.6769777,1370,ACS 2020-2024 5-year,637,LODES8 2023
170310502001,41.9598335,-87.6858055,1433,ACS 2020-2024 5-year,107,LODES8 2023
170310502002,41.9581693,-87.6811300,2656,ACS 2020-2024 5-year,1104,LODES8 2023
170310502003,41.9561907,-87.6856973,1773,ACS 2020-2024 5-year,141,LODES8 2023
170310503001,41.9591072,-87.6901232,752,ACS 2020-2024 5-year,240,LODES8 2023
170310503002,41.9555569,-87.6904305,863,ACS 2020-2024 5-year,102,LODES8 2023
170310503003,41.9576435,-87.6930785,1358,ACS 2020-2024 5-year,301,LODES8 2023
170310505001,41.9522287,-87.6865936,1150,ACS 2020-2024 5-year,103,LODES8 2023
170310505002,41.9522956,-87.6817371,1516,ACS 2020-2024 5-year,281,LODES8 2023
170310505003,41.9495582,-87.6816620,621,ACS 2020-2024 5-year,20,LODES8 2023
170310505004,41.9477346,-87.6816112,1121,ACS 2020-2024 5-year,76,LODES8 2023
170310505005,41.9485816,-87.6864899,813,ACS 2020-2024 5-year,124,LODES8 2023
170310506001,41.9523691,-87.6762281,1413,ACS 2020-2024 5-year,1792,LODES8 2023
