license_id,name,category,lat,lng
2962151,CHICAGO CUT STEAKHOUSE,liquor_tavern,41.88753,-87.63265
2962167,GRACE BEAUT LAB,personal_services,41.94057,-87.65427
2962327,SUGAR RAE'S,grocery,41.97709,-87.75451
2962346,T'MARIE ART COMPANY,other,41.70084,-87.70101
2962379,C-FOOD PLUS,restaurant_cafe,41.85407,-87.64160
2962390,NISOS,other,41.88451,-87.64758
2964889,ATARDECER ACAPULQUENO,liquor_tavern,41.85196,-87.69928
2966094,IRON CAFE,restaurant_cafe,41.82688,-87.65947
2966097,Oak & Honey,restaurant_cafe,41.93841,-87.64449
2966098,Oak & Honey,liquor_tavern,41.93841,-87.64449
2966099,Pizza Amelia,restaurant_cafe,41.94307,-87.68136
2966140,Wicker Park Food Wine Spirits,grocery,41.90397,-87.66767
2966141,Wicker Park Food Wine Spirits,liquor_tavern,41.90397,-87.66767
2966202,7am Nail Care,personal_services,41.88051,-87.65228
2966203,KELLI'S CHICAGO,restaurant_cafe,41.83117,-87.62171
2966204,KELLI'S CHICAGO,liquor_tavern,41.83117,-87.62171
2966209,Sangamon Food Market and Grill,grocery,41.70699,-87.64663
2966233,El Malecon,restaurant_cafe,41.71886,-87.55117
2966265,Hollywood & Wine,grocery,41.98473,-87.68963
2966266,Hollywood & Wine,liquor_tavern,41.98473,-87.68963
2966275,JR. LANDSCAPING SERVICE,other,41.95237,-87.71178
2966285,AMEN AFRICAN BRAIDS,personal_services,41.97675,-87.72841
2966302,"FRIDA'S EVENT ROOM, CO.",other,41.79756,-87.74274
2966303,La Colonia,restaurant_cafe,41.96856,-87.74066
2966304,La Colonia,liquor_tavern,41.96856,-87.74066
2966305,La Colonia,liquor_tavern,41.96856,-87.74066
2966309,TAQUERIA MI PUEBLO III INC.,restaurant_cafe,41.80101,-87.68662
2966409,THE CLUB MDW,liquor_tavern,41.78933,-87.74165
2966430,Indigo,restaurant_cafe,41.85381,-87.65159
2966431,Indigo,liquor_tavern,41.85381,-87.65159
