foundation,ein,street,city,state,zip,lat,lng
Frank E Payne and Seba B Payne Foundation,871526433,225 W WACKER DRIVE 2150,CHICAGO,IL,60606,41.886816849428,-87.634043210376
Frechette Family Foundation,311530248,200 W MADISON ST 300,CHICAGO,IL,60606,41.881999441643,-87.633899204958
Fulk Family Foundation INC,470732237,1248 O St Suite 1040,Lincoln,NE,68508,40.813709163023,-96.70332656421
Gaylord and Dorothy Donnelley Foundation,366108460,35 EAST WACKER DRIVE 2600,CHICAGO,IL,60601,41.887530047162,-87.625851774658
Gray Collection Trust,261596672,1130 N LAKE SHORE DR 5E,CHICAGO,IL,60611,41.903287432244,-87.624852113721
Helen Brach Foundation,237376427,104 S Michigan Ave STE 1310,Chicago,IL,60603,41.880557244236,-87.624516706522
Hunter Family Foundation,371887329,50 EAST WASHINGTON STREET 400,CHICAGO,IL,60602,41.883277440963,-87.625617731771
IMC Chicago Charitable Foundation,261416954,233 S WACKER DRIVE STE 4300,CHICAGO,IL,60606,41.878916229496,-87.636602795305
Klaff Family Foundation,611480716,200 N Lasalle Street Suite 2370,Chicago,IL,60601,41.885796837609,-87.632526709602
Kovler Family Foundation,366152744,875 N MICHIGAN AVE - 3400,CHICAGO,IL,60611,41.898768343588,-87.624038249653
Kraft Heinz Company Foundation,460858318,200 E RANDOLPH 75TH FL 7600,CHICAGO,IL,60601,41.884581517155,-87.622210571687
LKQ Community Foundation,844058990,500 W MADISON ST STE 2800,CHICAGO,IL,60661,41.881945441978,-87.639762703171
Lohengrin Foundation INC,136141339,200 W MADISON 3RD FLOOR,CHICAGO,IL,60606,41.881999441643,-87.633899204958
Malott Family Foundation,363680666,333 N MICHIGAN AVE 3100,CHICAGO,IL,60601,41.887717519044,-87.624478897778
Mansueto Foundation,271895175,400 NORTH MICHIGAN AVE SUITE 350,CHICAGO,IL,60611,41.889364493618,-87.624394465091
Mondelez International Foundation,203881590,905 WEST FULTON MARKET 200,CHICAGO,IL,60607,41.886707155807,-87.650206903507
Motorola Solutions Foundation,366109323,500 W Monroe Street,Chicago,IL,60661,41.880647100888,-87.639725222838
Patrick G and Shirley W Ryan Foundation,363305162,150 N MICHIGAN AVE 2100,CHICAGO,IL,60601,41.884931224143,-87.624552861651
Paul Galvin Memorial Foundation TR,866182808,444 W LAKE ST 4525,CHICAGO,IL,60606,41.885779441303,-87.639431130354
Polsky Foundation,651164639,One South Wacker Drive Suite 1810,Chicago,IL,60606,41.881732828008,-87.636682500646
Pritzker Family Foundation,300039820,110 N WACKER DRIVE SUITE 4350,CHICAGO,IL,60606,41.884630963557,-87.637144839219
Pritzker Military Foundation,472570839,104 S MICHIGAN AVE 1025,CHICAGO,IL,60603,41.880557244236,-87.624516706522
Ralla Klepak Performing Arts Foundation,843791888,6538 N SACRAMENTO AVE,CHICAGO,IL,60645,42.000018900203,-87.704670673135
Retirement Research Foundation,362429540,8765 W HIGGINS ROAD SUITE 430,CHICAGO,IL,60631,41.987670068984,-87.84570013132
Richard L Duchossois Memorial Foundation,822759714,22 W WASHINGTON ST 1630,CHICAGO,IL,60602,41.883273259619,-87.628619123773
Robert W Galvin Foundation,366065560,444 W LAKE STREET 4525,CHICAGO,IL,60606,41.885779441303,-87.639431130354
SF Foundation,364146804,3023 N CLARK STREET 889,CHICAGO,IL,60657,41.936801934046,-87.648034217736
Scanlan Family Foundation,527240192,111 S WACKER DR 3975,CHICAGO,IL,60606,41.880452862177,-87.636653764673
Sidley Austin Foundation,203980527,ONE SOUTH DEARBORN 2300,CHICAGO,IL,60603,41.881940393202,-87.629324275157
Spencer Foundation,366078558,625 N MICHIGAN AVE 1600,CHICAGO,IL,60611,41.893281264144,-87.624134665809
Square One Foundation,366068835,701 W Erie St,Chicago,IL,60654,41.893336817645,-87.646049699401
Sue Ling Gin Foundation TR,476858270,212 NORTH SANGAMON ST 1A,CHICAGO,IL,60607,41.885697032248,-87.651054485143
Susan Crown Exchange INC,262991942,4 EAST OHIO STREET 30,CHICAGO,IL,60611,41.892529439506,-87.627931623276
T Kimball Brooker Foundation,363481541,1500 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60610,41.909579701157,-87.626237113536
Tawani Charitable Distribution Fund,300040386,104 S MICHIGAN AVE 1025,CHICAGO,IL,60603,41.880557244236,-87.624516706522
Tenzer Family Foundation,367613423,141 W JACKSON BLVD SUITE 2036,CHICAGO,IL,60604,41.87806885085,-87.632656297582
Terra Foundation for American Art,362999442,120 EAST ERIE STREET,CHICAGO,IL,60611,41.894177580936,-87.625146682748
The Bobolink Foundation,942988627,180 N STETSON AVE Suite 2550,CHICAGO,IL,60601,41.885318166121,-87.622377044363
The Brinson Foundation,680656415,737 NORTH MICHIGAN AVENUE 1850,CHICAGO,IL,60611,41.895919341624,-87.624197540481
The Duchossois Family Foundation,363327987,444 W LAKE ST 2000,CHICAGO,IL,60606,41.885779441303,-87.639431130354
The Irving Harris Foundation,366055115,225 W WACKER DRIVE 2150,CHICAGO,IL,60606,41.886816849428,-87.634043210376
The Poetry Foundation,362490808,61 WEST SUPERIOR ST,CHICAGO,IL,60654,41.895598530205,-87.629827976579
The Raymond Frankel Foundation,133187074,CO CURI RMB ONE N WACKER DR 3500,CHICAGO,IL,60606,41.881973845659,-87.636690224398
The Walsh Foundation,363994447,190 S LASALLE ST 1700,CHICAGO,IL,60603,41.879514148711,-87.63237315861
Trott Family Philanthropies INC,853003942,c/o ROBBINS 180 N STETSON STE 2550,CHICAGO,IL,60601,41.885318166121,-87.622377044363
Visiting Nurse Association of Chicago,362167943,200 W MADISON ST 300,CHICAGO,IL,60606,41.881999441643,-87.633899204958
W Clement & Jessie V Stone Foundation,362498125,70 E Lake Street 1020,Chicago,IL,60601,41.885782775355,-87.625858436593
Wilemal Fund,366098849,333 W WACKER DRIVE 2500,CHICAGO,IL,60606,41.886422300839,-87.635859912014
William G McGowan Charitable Fund,521829785,30 S WACKER DRIVE 3825,CHICAGO,IL,60606,41.881512398188,-87.637086157606
Pritzker Traubert Foundation — Chicago Prize,364347781,444 W LAKE STREET Suite 3400,CHICAGO,IL,60606,41.885779441303,-87.639431130354
Beatrice P Delaney Char FDN,136748171,10 S Dearborn St,Chicago,IL,60603,41.88189289189,-87.6294765459
Bluhm Family Charitable Foundation,261572776,900 N Michigan Ave,Chicago,IL,60611,41.870534399818,-87.624298694847
Canning Foundation,363913323,70 W Madison St,Chicago,IL,60602,41.88204491887,-87.630121034318
Elizabeth Morse Genius Charitable Trust,367010559,10 S Dearborn St,Chicago,IL,60603,41.88189289189,-87.6294765459
Smart Family Foundation of Illinois,812433446,179 E Lake Shore Dr,Chicago,IL,60611,41.88572686313,-87.622678279182
Zell Family Foundation,363487811,2 N Riverside Plaza Suite 600,Chicago,IL,60606,41.883842,-87.638874
Zellis Family Foundation,832650002,2 N Riverside Plaza Suite 600,Chicago,IL,60606,41.883842,-87.638874
Matthew Zell Family Foundation,832650859,2 N Riverside Plaza Suite 600,Chicago,IL,60606,41.883842,-87.638874
Margot and Thomas Pritzker Family Foundation,363852559,150 N Riverside Plaza Suite 3300,Chicago,IL,60606,41.885446,-87.638722
The Pritzker Pucker Family Foundation,300036022,150 N Riverside Plaza Suite 3300,Chicago,IL,60606,41.885446,-87.638722
