ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
455492483,Farley Family Charitable Foundation,202413049349100211,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,18,3935500.0,3935500.0,,3935500.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,725000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413049349100211_public.xml,fbb6dfbae0634cda,phase2-2026-08-03.1
455492483,Farley Family Charitable Foundation,202531299349101203,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,19,2331000.0,2331000.0,,2331000.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,940000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531299349101203_public.xml,bb04cc385b1ace6b,phase2-2026-08-03.1
460858318,Kraft Heinz Company Foundation,202233149349102553,2021,990PF,2021v4.2,2021-01-01,2021-12-25,N,26,9861000.0,9861000.0,,9861000.0,0.0,reconciled,row sum ties printed line-3a total within $1,4,1531000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202233149349102553_public.xml,3806dfe1dbd1410b,phase2-2026-08-03.1
460858318,Kraft Heinz Company Foundation,202323199349105147,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,16,6595065.0,6595065.0,,6595065.0,0.0,reconciled,row sum ties printed line-3a total within $1,4,1515000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349105147_public.xml,2f883fab8bb20775,phase2-2026-08-03.1
460858318,Kraft Heinz Company Foundation,202433179349102148,2023,990PF,2023v5.1,2023-01-01,2023-12-30,N,14,7355000.0,7355000.0,,7355000.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,1700000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202433179349102148_public.xml,af32a8e8f9c75510,phase2-2026-08-03.1
460858318,Kraft Heinz Company Foundation,202533179349103828,2024,990PF,2024v5.2,2023-12-31,2024-12-28,N,13,8036314.0,8036314.0,,8036314.0,0.0,reconciled,row sum ties printed line-3a total within $1,3,1700000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533179349103828_public.xml,c332660361ef0e04,phase2-2026-08-03.1
471516608,BJB Foundation,202222819349100402,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,12,1766943.0,1766943.0,,1766943.0,0.0,reconciled,row sum ties printed line-3a total within $1,7,1047500.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202222819349100402_public.xml,eb168409dfdc8639,phase2-2026-08-03.1
471516608,BJB Foundation,202333189349101043,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,14,2344374.0,2344374.0,,2344374.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,1047500.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349101043_public.xml,90453aa385959e9f,phase2-2026-08-03.1
471516608,BJB Foundation,202423209349104922,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,15,3171658.0,3171658.0,,3171658.0,0.0,reconciled,row sum ties printed line-3a total within $1,8,720000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423209349104922_public.xml,e86c9b1bfd0fc237,phase2-2026-08-03.1
471516608,BJB Foundation,202533189349102253,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,13,2064486.0,2064486.0,,2064486.0,0.0,reconciled,row sum ties printed line-3a total within $1,6,400000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533189349102253_public.xml,a29bf364213feaf5,phase2-2026-08-03.1
