project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0137,"Urban Development Fund, LLC",7000000,13970220,2011,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60640,zip,,,missing_no_street_address_in_source,17031031501,41.9672886,-87.6524343,2020_tract_centroid_pip
IL0139,"Bethel New Life, Inc",139500,139500,2011,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031231200,41.8990614,-87.7213153,2020_tract_centroid_pip
IL0140,"Enterprise Financial CDE, LLC",2387500,887500,2015,Business Financing,Chicago,Illinois,60607,zip,,,missing_no_street_address_in_source,17031833100,41.8790778,-87.6570459,2020_tract_centroid_pip
IL0148,"PNC Community Partners, Inc.",28286000,30025000,2012,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031420400,41.7831699,-87.6035584,2020_tract_centroid_pip
IL0149,Chase New Markets Corporation,1320000,2019291,2012,Business Financing,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031191200,41.9201432,-87.7608269,2020_tract_centroid_pip
IL0150,Chase New Markets Corporation,13272633,16019764.17,2012,Business Financing,Chicago,Illinois,60622,zip,,,missing_no_street_address_in_source,17031241000,41.9079686,-87.6945342,2020_tract_centroid_pip
IL0151,"Bethel New Life, Inc",186500,191500,2012,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031838700,41.8625775,-87.7201851,2020_tract_centroid_pip
IL0152,Chase New Markets Corporation,5000000,5600000,2012,Business Financing,Chicago,Illinois,60609,zip,,,missing_no_street_address_in_source,17031839900,41.8273459,-87.648454,2020_tract_centroid_pip
IL0153,"Advantage Capital Community Development Fund, LLC",1475000,3550000,2012,Business Financing,Chicago,Illinois,60604,zip,,,missing_no_street_address_in_source,17031320400,41.875817,-87.6172556,2020_tract_centroid_pip
IL0159,Merrill Lynch Community Development Company,9338203,9338203,2012,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031191200,41.9201432,-87.7608269,2020_tract_centroid_pip
IL0160,"Bethel New Life, Inc",263500,263500,2012,Business Financing,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837300,41.8716191,-87.7055524,2020_tract_centroid_pip
IL0161,"Bethel New Life, Inc",210037,210037,2012,Business Financing,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031231100,41.8992542,-87.7150684,2020_tract_centroid_pip
IL0162,Chicago Development Fund,8134000,8378990,2012,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60653,zip,,,missing_no_street_address_in_source,17031360200,41.8268855,-87.6098876,2020_tract_centroid_pip
IL0163,Community Reinvestment Fund New Markets I LP,3198239,544239,2012,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60615,zip,,,missing_no_street_address_in_source,17031381800,41.8038481,-87.6211978,2020_tract_centroid_pip
