record_id,program_name,program_slug,funding_law,assistance_type,program_state,opportunity_status,amount_context,sba_loan_number,approval_date,source_approval_date,legal_business_name,source_business_name,dba_trade_name,franchise_name,published_street_address,published_city,published_state,published_zip,location_precision,grant_amount_usd,rural_urban_indicator,hubzone_indicator,congressional_district,grant_purp_cons_outdoor_seating,grant_purpose_covered_supplier,grant_purpose_debt,grant_purpose_food,grant_purpose_maintenance_indoor,grant_purpose_operations,grant_purpose_payroll,grant_purpose_rent,grant_purpose_supplies,grant_purpose_utility,legal_organization_type,lmi_indicator,socioeconomic_indicator,veteran_indicator,women_owned_indicator,restaurant_type,source_url,source_download_url,source_version
sba-rrf-7597488902,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7597488902,2021-05-07,05/07/2021,RJC Companies Inc,RJC Companies Inc,,,4455 S King Dr,Chicago,IL,60653,published_street_address_ungeocoded,80720.97,U,Y,IL-01,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Corporation,Y,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7597528901,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7597528901,2021-05-07,05/07/2021,Roosevelt Eatery LLC,Roosevelt Eatery LLC,,Dunkin' Donut/Baskin-Robbins Co-Brand,1651 W Roosevelt Rd,Chicago,IL,60608,published_street_address_ungeocoded,72665.50,U,Y,IL-03,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),Y,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7598978909,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7598978909,2021-05-07,05/07/2021,AFBK LLC,AFBK LLC,,Burger King,547 W JACKSON,CHICAGO,IL,60661,published_street_address_ungeocoded,38542.27,U,N,IL-07,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,N,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7599158901,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7599158901,2021-05-07,05/07/2021,ins wacker inc,ins wacker inc,,INS Market,101 N Wacker Dr suite 105,Chicago,IL,60606,published_street_address_ungeocoded,174372.00,U,N,IL-07,N,N,Y,Y,N,Y,Y,Y,Y,Y,Corporation,N,Y,N,N,"Snack and Nonalcoholic Beverage Bar && Food Stand, Food Truck, Food Cart",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7600068907,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7600068907,2021-05-07,05/07/2021,14 Parish LLC,14 Parish LLC,,,1644 E 53rd St,Chicago,IL,60615,published_street_address_ungeocoded,155663.00,U,Y,IL-02,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,Y,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7600598902,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7600598902,2021-05-07,05/07/2021,Bokeh LLC,Bokeh LLC,,,4716 N Kedzie Ave STO,Chicago,IL,60625,published_street_address_ungeocoded,165705.00,U,N,IL-04,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,Y,N,N,"Restaurant && Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7601238901,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7601238901,2021-05-07,05/07/2021,FLIP N DS INC,FLIP N DS INC,,,3215 N Harlem Ave,Chicago,IL,60634,published_street_address_ungeocoded,109173.00,U,N,IL-04,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Corporation,N,N,N,Y,"Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7601368905,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7601368905,2021-05-07,05/07/2021,Exxecu Enterprise Inc,Exxecu Enterprise Inc,,Subway,500 W Madison St Lbby 5,Chicago,IL,60661,published_street_address_ungeocoded,340210.00,U,N,IL-07,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,N,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7601438902,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7601438902,2021-05-07,05/07/2021,Pressure Incorporated,Pressure Incorporated,,,6318 N Clark St,Chicago,IL,60660,published_street_address_ungeocoded,119156.00,U,Y,IL-05,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Corporation,N,Y,N,N,"Restaurant && Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7601578909,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7601578909,2021-05-07,05/07/2021,Cedars Mediterranean Kitchen LLC,Cedars Mediterranean Kitchen LLC,,,1206 E 53rd St,Chicago,IL,60615,published_street_address_ungeocoded,211200.96,U,Y,IL-01,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,Y,N,Y,Restaurant && Caterer,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
