foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Arie and Ida Crown Memorial,2022,CROSSROADS FUND,3411 WEST DIVERSEY AVENUE SUITE 20,CHICAGO,IL,60647,200000,GENERAL OPERATING,990-PF,41.931906846099,-87.712837203673,sited
Arie and Ida Crown Memorial,2022,HEARTLAND ALLIANCE INTERNATIONAL LLC,208 SOUTH LASALLE STREET SUITE 1300,CHICAGO,IL,60604,200000,PROGRAM,990-PF,41.879132477534,-87.632361460549,sited
Arie and Ida Crown Memorial,2022,ILLINOIS ACTION FOR CHILDREN,4753 N BROADWAY,CHICAGO,IL,60640,200000,PROGRAM,990-PF,41.968222373579,-87.659195405517,sited
Arie and Ida Crown Memorial,2022,INSTITUTE FOR NONVIOLENCE CHICAGO,819 N LEAMINGTON AVE,CHICAGO,IL,60651,200000,GENERAL OPERATING,990-PF,41.895722281342,-87.754319486251,sited
Arie and Ida Crown Memorial,2022,JEWISH FEDERATION OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET,CHICAGO,IL,60606,200000,GENERAL OPERATING;PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,KIDS FIRST CHICAGO FOR EDUCATION,21 SOUTH CLARK STREET,CHICAGO,IL,60603,200000,GENERAL OPERATING,990-PF,41.881923760895,-87.630803072709,sited
Arie and Ida Crown Memorial,2022,LAWNDALE EDUCATIONAL AND REGIONAL,3021 W CARROLL AVENUE 5TH FLOOR,CHICAGO,IL,60612,200000,PROGRAM,990-PF,41.887510745159,-87.702430769417,sited
Arie and Ida Crown Memorial,2022,NIGHT MINISTRY,1735 NORTH ASHLAND AVENUE,CHICAGO,IL,60622,200000,GENERAL OPERATING,990-PF,41.913146606145,-87.667683335934,sited
Arie and Ida Crown Memorial,2022,ONEGOAL,180 N WABASH AVE,CHICAGO,IL,60601,200000,PROGRAM,990-PF,41.885383955465,-87.626340906809,sited
Arie and Ida Crown Memorial,2022,ALBANY PARK THEATER PROJECT,PO BOX 25072,CHICAGO,IL,60625,195000,GENERAL OPERATING,990-PF,,,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,JEWISH UNITED FUND OF METROPOLITAN CHICAGO,30 SOUTH WELLS STREET 3020,CHICAGO,IL,60606,185000,PROGRAM,990-PF,41.881085502878,-87.633883748516,intermediary_or_citywide
Arie and Ida Crown Memorial,2022,ONE MILLION DEGREES,180 N WABASH AVE,CHICAGO,IL,60601,178073,GENERAL OPERATING;PROGRAM,990-PF,41.885383955465,-87.626340906809,sited
