ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
363327987,The Duchossois Family Foundation,202533219349102723,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,97,5213458.0,5213458.0,5213458.0,5213458.0,0.0,reconciled,row sum ties printed line-3a total within $1,39,2747750.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533219349102723_public.xml,420d7a84dfc1273b,tier1-2026-08-03.1
363327987,The Duchossois Family Foundation,202403199349104830,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,87,19226337.0,19226337.0,19226337.0,19226337.0,0.0,reconciled,row sum ties printed line-3a total within $1,39,2376000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403199349104830_public.xml,8860a2acf4fb3fa8,tier1-2026-08-03.1
363327987,The Duchossois Family Foundation,202343199349108374,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,86,13844750.0,13844750.0,13844750.0,13844750.0,0.0,reconciled,row sum ties printed line-3a total within $1,39,13220000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343199349108374_public.xml,467d7171749cab89,tier1-2026-08-03.1
300039840,Anthony Pritzker Fam Foundation,202523189349102902,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,1,19775200.0,19775200.0,19775200.0,19775200.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523189349102902_public.xml,dcd99a894dad3532,tier1-2026-08-03.1
300039840,Anthony Pritzker Fam Foundation,202403189349101975,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,1,18799294.0,18799294.0,18799294.0,18799294.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403189349101975_public.xml,23a13318235b1d99,tier1-2026-08-03.1
300039840,Anthony Pritzker Fam Foundation,202323189349101222,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,1,18043648.0,18043648.0,18043648.0,18043648.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323189349101222_public.xml,9aa163b2dade16a7,tier1-2026-08-03.1
261416954,IMC Chicago Charitable Foundation,202512189349100501,2024,990PF,2024v5.1,2024-01-01,2024-12-31,N,99,15418034.0,15418034.0,15418034.0,15418034.0,0.0,reconciled,row sum ties printed line-3a total within $1,39,178785.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202512189349100501_public.xml,f8854a8fbc521c4f,tier1-2026-08-03.1
261416954,IMC Chicago Charitable Foundation,202413109349100106,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,85,17690081.0,17690081.0,17690081.0,17690081.0,0.0,reconciled,row sum ties printed line-3a total within $1,39,328636.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413109349100106_public.xml,49e8854e6d65bac7,tier1-2026-08-03.1
261416954,IMC Chicago Charitable Foundation,202323189349104012,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,72,10654578.0,10654578.0,10654578.0,10654578.0,0.0,reconciled,row sum ties printed line-3a total within $1,30,851150.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323189349104012_public.xml,1afb56d379c151a1,tier1-2026-08-03.1
363261347,The Richard H Driehaus Foundation,202543219349104794,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,1,17096126.0,17096126.0,14631928.0,17096126.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543219349104794_public.xml,b5bde0bea5dad5ae,tier1-2026-08-03.1
