program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,7167,"Other Public Services Not Listed in 05A-05Y, 03T","104 S Michigan Ave, Chicago, IL 60603",12025.00,,Public Services,,2006-12-31,41.880789,-87.624656
cdbg,7168,"Other Public Services Not Listed in 05A-05Y, 03T","6401 N Artesian Ave, Chicago, IL 60645",7400.00,,Public Services,,2006-12-31,41.998077,-87.690909
cdbg,7169,Senior Services,"5480 S Kenwood Ave, Chicago, IL 60615",22487.23,,Public Services,,2007-12-31,41.795408,-87.593611
cdbg,7170,Youth Services,"640 W Irving Park Rd, Chicago, IL 60613",19487.72,,Public Services,,2006-12-31,41.954798,-87.646635
cdbg,7175,Youth Services,"3403 W Lawrence Ave, Chicago, IL 60625",43424.26,,Public Services,,2007-12-31,41.968238,-87.713456
cdbg,7176,Youth Services,"3403 W Lawrence Ave Ste 300, Chicago, IL 60625",99472.29,,Public Services,,2006-12-31,41.968238,-87.713456
cdbg,7177,Youth Services,"5638 S Woodlawn Ave, Chicago, IL 60637",27622.99,,Public Services,,2006-12-31,41.792594,-87.596693
cdbg,7178,Youth Services,"5638 S Woodlawn Ave, Chicago, IL 60637",27288.00,,Public Services,,2006-12-31,41.792594,-87.596693
cdbg,7179,Youth Services,"11 E Adams St Ste 1500, Chicago, IL 60603",39089.36,,Public Services,,2006-12-31,41.879326,-87.626798
cdbg,7181,Youth Services,"11 E Adams St Ste 1500, Chicago, IL 60603",38351.69,,Public Services,,2006-12-31,41.879326,-87.626798
cdbg,7182,Youth Services,"11 E Adams St, Chicago, IL 60603",39592.39,,Public Services,,2006-12-31,41.879326,-87.626798
cdbg,7184,Employment Training,"247 S State St, Chicago, IL 60604",56024.00,,Public Services,,2006-12-31,41.878835,-87.627407
cdbg,7185,Employment Training,"247 S State St, Chicago, IL 60604",43359.00,,Public Services,,2006-12-31,41.878835,-87.627407
cdbg,7186,Youth Services,"6216 N Clark St, Chicago, IL 60660",21143.51,,Public Services,,2006-12-31,41.995024,-87.670515
cdbg,7188,Employment Training,"6845 S Western Ave, Chicago, IL 60636",46250.00,,Public Services,,2006-12-31,41.769151,-87.683107
cdbg,7189,Employment Training,"6652 N Ashland Ave, Chicago, IL 60626",37000.00,,Public Services,,2006-12-31,42.002965,-87.670781
cdbg,7194,Rehabilitation: Multi-Unit Residential,"545 W Division St, Chicago, IL 60610",4763392.00,,Housing,,2007-10-03,41.903592,-87.642371
cdbg,7203,"Other Public Services Not Listed in 05A-05Y, 03T","7320 S Yale Ave, Chicago, IL 60621",21230.77,,Public Services,,2006-12-31,41.761399,-87.631136
cdbg,7204,Youth Services,"5090 W Harrison St, Chicago, IL 60644",25473.14,,Public Services,,2006-12-31,41.873099,-87.752886
cdbg,7205,"Other Public Services Not Listed in 05A-05Y, 03T","135 S La Salle St, Chicago, IL 60603",178884.44,,Public Services,,2006-12-31,41.879927,-87.632154
cdbg,7206,Employment Training,"1350 W 103rd St, Chicago, IL 60643",62316.00,,Public Services,,2006-12-31,41.706931,-87.656718
cdbg,7207,Senior Services,"1343 N California Ave, Chicago, IL 60622",23125.00,,Public Services,,2006-12-31,41.905888,-87.696709
cdbg,7210,Youth Services,"3528 S Hermitage Ave, Chicago, IL 60609",23125.00,,Public Services,,2006-12-31,41.829799,-87.66941
cdbg,7252,Youth Services,"4711 N Ravenswood Ave, Chicago, IL 60640",66718.88,,Public Services,,2006-12-31,41.967312,-87.673891
cdbg,7253,Youth Services,"4711 N Ravenswood Ave, Chicago, IL 60640",71946.88,,Public Services,,2006-12-31,41.967312,-87.673891
cdbg,7269,Youth Services,"8640 S South Chicago Ave, Chicago, IL 60617",40347.92,,Public Services,,2006-12-31,41.737954,-87.567159
cdbg,7270,"Other Public Services Not Listed in 05A-05Y, 03T","1909 W Byron St, Chicago, IL 60613",20316.17,,Public Services,,2006-12-31,41.952203,-87.676679
cdbg,7271,"Other Public Services Not Listed in 05A-05Y, 03T","4702 N Beacon St, Chicago, IL 60640",23125.00,,Public Services,,2006-12-31,41.967168,-87.664367
cdbg,7274,"Other Public Services Not Listed in 05A-05Y, 03T","1621 W Walnut St, Chicago, IL 60612",274701.46,,Public Services,,2006-12-31,41.885989,-87.66768
