geography,geography_level,year,transaction_count,dollars,instrument_mix_text,transactions_missing_amount
North Center,community_area,2022,17,4640941,"TERM: 11 txn / $1,493,502; LOC: 6 txn / $3,147,439",0
East Garfield Park,community_area,2022,29,4630253,"TERM: 24 txn / $4,552,925; LOC: 5 txn / $77,328",0
North Lawndale,community_area,2022,25,4601949,"TERM: 20 txn / $3,865,861; LOC: 5 txn / $736,088",0
Chicago Lawn,community_area,2022,75,4564926,"TERM: 71 txn / $3,757,756; LOC: 4 txn / $807,170",0
West Ridge,community_area,2022,34,4547264,"TERM: 30 txn / $2,571,281; LOC: 4 txn / $1,975,983",0
Avondale,community_area,2022,29,4234622,"TERM: 25 txn / $1,409,662; LOC: 4 txn / $2,824,960",0
Grand Boulevard,community_area,2022,20,4193043,"TERM: 15 txn / $3,510,495; LOC: 5 txn / $682,548",0
West Elsdon,community_area,2022,15,4064111,"TERM: 13 txn / $2,852,900; LOC: 2 txn / $1,211,211",0
Morgan Park,community_area,2022,14,3552853,"TERM: 14 txn / $3,552,853",0
West Garfield Park,community_area,2022,26,3352280,"TERM: 18 txn / $3,152,998; LOC: 8 txn / $199,282",0
Beverly,community_area,2022,14,3318659,"TERM: 11 txn / $3,314,391; LOC: 3 txn / $4,268",0
Irving Park,community_area,2022,24,3298507,"TERM: 21 txn / $2,619,883; LOC: 3 txn / $678,624",0
Lincoln Park,community_area,2022,21,3296384,"TERM: 16 txn / $3,096,959; LOC: 5 txn / $199,425",0
Hermosa,community_area,2022,48,3260135,"TERM: 47 txn / $3,234,864; LOC: 1 txn / $25,271",0
Belmont Cragin,community_area,2022,106,2984917,"TERM: 103 txn / $2,965,849; LOC: 3 txn / $19,068",0
Douglas,community_area,2022,10,2869871,"TERM: 9 txn / $2,864,700; LOC: 1 txn / $5,171",0
West Englewood,community_area,2022,32,2805263,"TERM: 28 txn / $2,769,956; LOC: 4 txn / $35,307",0
Edgewater,community_area,2022,26,2575844,"TERM: 25 txn / $2,550,073; LOC: 1 txn / $25,771",0
Portage Park,community_area,2022,57,2541276,"TERM: 54 txn / $2,464,463; LOC: 3 txn / $76,813",0
Washington Park,community_area,2022,9,2523759,"TERM: 9 txn / $2,523,759",0
Mount Greenwood,community_area,2022,5,2510592,"TERM: 5 txn / $2,510,592",0
Near South Side,community_area,2022,25,2466390,"TERM: 20 txn / $2,407,027; LOC: 5 txn / $59,363",0
Lincoln Square,community_area,2022,24,2249271,"TERM: 21 txn / $2,205,904; LOC: 2 txn / $28,367; EQTYINV: 1 txn / $15,000",0
Archer Heights,community_area,2022,10,2238441,"TERM: 9 txn / $2,212,670; LOC: 1 txn / $25,771",0
Auburn Gresham,community_area,2022,30,2211700,"TERM: 24 txn / $2,068,664; LOC: 6 txn / $143,036",0
