"record_id","recipient","amount_usd","grant_type","award_year","recipient_url","source_note","source_url","source_checked_at"
"impact-grants-2023-open-books-impact","Open Books","100000","Impact Grant","2023","https://www.open-books.org/team/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-poder-merit","PODER","15000","Merit Grant","2023","https://www.poderworks.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-primo-center-merit","Primo Center","10000","Merit Grant","2019","http://www.primocenter.org/","(fka Primo Center for Women and Children)","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-renaissance-social-services-merit","Renaissance Social Services","30000","Merit Grant","2020","http://www.rssichicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-renaissance-social-services-merit","Renaissance Social Services","10000","Merit Grant","2019","http://www.rssichicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-resilience-impact","Resilience","100000","Impact Grant","2021","http://www.ourresilience.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-revive-center-for-housing-and-healing-merit","ReVive Center For Housing and Healing","40000","Merit Grant","2026","https://www.revivecenter.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-revolution-workshop-impact","Revolution Workshop","100000","Impact Grant","2023","https://www.revolutionworkshop.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2018-storycatchers-theatre-merit","Storycatchers Theatre","17500","Merit Grant","2018","http://www.storycatcherstheatre.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-the-bloc-impact","The BLOC","100000","Impact Grant","2025","https://theblocchicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-the-network-merit","The Network","20000","Merit Grant","2022","https://the-network.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-the-peoples-music-school-impact","The Peoples Music School","100000","Impact Grant","2025","https://peoplesmusicschool.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-st-leonard-s-ministries-merit","St. Leonard’s Ministries","30000","Merit Grant","2020","http://www.slministries.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-st-leonard-s-ministries-impact","St. Leonard’s Ministries","100000","Impact Grant","2024","http://www.slministries.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2018-uptown-people-s-law-center-merit","Uptown People’s Law Center","17500","Merit Grant","2018","https://www.uplcchicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-vocel-merit","VOCEL","20000","Merit Grant","2022","https://www.vocel.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-vocel-merit","VOCEL","30000","Merit Grant","2025","https://www.vocel.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-working-credit-merit","Working Credit","15000","Merit Grant","2023","https://www.workingcredit.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
