hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB19910010,6820-30 S RIDGELAND,6820 S RIDGELAND AVE,60649,24,24,,1990,1991,41.771172,-87.5828,hud_source
ILB19910015,AFRICAN VILLAGE,400 S LARAMIE AVE,60644,95,95,,1990,1991,41.874849,-87.755074,hud_source
ILB19910025,EDGEWATER SHORES APTS,5326 N WINTHROP AVE,60640,70,70,,1990,1991,41.978753,-87.657659,hud_source
ILB19910035,LAKESIDE SQUARE APTS,920 W LAKESIDE PL,60640,308,308,,1989,1991,41.968356,-87.653223,hud_source
ILB19910045,PINE PLACE,330 N PINE AVE,60644,42,42,,1989,1991,41.886198,-87.763577,hud_source
ILB19920005,6109-15 S INDIANA APT,6109 S INDIANA AVE,60637,16,16,,1990,1992,41.783548,-87.620342,hud_source
ILB19920010,ASHLANDS PHASES I & II,7724 N ASHLAND AVE,60626,51,51,,1991,1992,42.021867,-87.670864,hud_source
ILB19920015,AUSTIN MUTUAL,5040 W QUINCY ST,60644,41,41,,1991,1992,41.877777,-87.750469,hud_source
ILB19920020,CHURCHVIEW MANOR,6250 S TALMAN AVE,60629,60,60,,1990,1992,41.780312,-87.689782,hud_source
ILB19920025,FRIENDLY TOWERS,4707 N MALDEN ST,60640,66,66,,1991,1992,41.967308,-87.662454,hud_source
ILB19920030,LAKE PARK,4631 S LAKE PARK AVE,,65,53,,1991,1992,41.81095332416,-87.593841068312,census_geocoder
ILB19920035,MICHIGAN MANOR,5751 S MICHIGAN AVE,60637,31,31,,1990,1992,41.790098,-87.622115,hud_source
ILB19920040,SOUTH SHORE APTS,7456 S STH SHR DR,60649,77,77,,1991,1992,41.761071,-87.557687,hud_source
ILB19920045,SOUTH SHORE MANOR,2358 E 70TH PL,60649,33,33,,1990,1992,41.767316,-87.567618,hud_source
ILB19920050,SUNNYSIDE UPTOWN APTS,847 W SUNNYSIDE AVE,60640,26,26,,1991,1992,41.963502,-87.651366,hud_source
ILB19930005,62ND ST DEVELOPMENT,6153 S EBERHART AVE,60637,162,162,,1991,1993,41.782968,-87.613035,hud_source
ILB19930010,BOULEVARD APTS,1930 N HUMBOLDT BLVD,60647,70,70,,1991,1993,41.916177,-87.702612,hud_source
ILB19930015,CORONADO APTS,1061 W ROSEMONT AVE,60660,122,122,,1992,1993,41.996235,-87.657857,hud_source
ILB19930020,EVANS-LANGLEY,727 E 50TH PL,60615,45,45,,1992,1993,41.803004,-87.607689,hud_source
ILB19930025,HAMILTON PARK APTS,7146 S LOWE AVE,60621,30,30,,1991,1993,41.764441,-87.640307,hud_source
ILB19930030,KINGSTON APTS,7436 S KINGSTON AVE,60649,19,19,,1992,1993,41.759834,-87.563366,hud_source
ILB19930035,MAGNOLIA ARMS,4626 N MAGNOLIA AVE,60640,70,70,,1992,1993,41.965847,-87.661274,hud_source
ILB19930040,JUNEWAY TERRACE APTS,1722 W JUNEWAY TER,60626,28,28,,1991,1993,42.022698,-87.673304,hud_source
ILB19930050,PINE-LOTUS DEVELOPMENT,224 N PINE AVE,60644,53,46,,1991,1993,41.884625,-87.763519,hud_source
ILB19930055,SHOREWOOD,1962 E 73RD PL,60649,115,115,,1991,1993,41.761737,-87.576855,hud_source
ILB19930060,KENWOOD OAKLAND DEVELOPMENT CORP,4746 S INGLESIDE AVE,60615,30,30,,1991,1993,41.808512,-87.603016,hud_source
ILB19930065,SOUTHEAST LITTLE VILLAGE,3066 E 92ND ST,60617,29,29,,1991,1993,41.728443,-87.549135,hud_source
ILB19930070,TOWN & GARDEN APTS,1414 N SEDGWICK ST,60610,628,628,,1992,1993,41.908207,-87.638719,hud_source
ILB19950005,6100-08 S WABASH APTS,6100 S WABASH AVE,60637,24,24,,1994,1995,41.783713,-87.62404,hud_source
ILB19950010,AUSTIN SQUARE,4701 W MAYPOLE AVE,60644,166,166,,1993,1995,41.884322,-87.742955,hud_source
ILB19950015,EAST PARK,3250 W MAYPOLE AVE,60624,152,152,,1994,1995,41.883457,-87.707334,hud_source
ILB19950020,HOMAN SQUARE I,750 S HOMAN AVE,60624,50,50,,1994,1995,41.871569,-87.710883,hud_source
ILB19950025,HUMBOLDT PARK RESIDENCE,1152 N CHRISTIANA AVE,60651,68,68,,1994,1995,41.901716,-87.710844,hud_source
ILB19950030,KENSINGTON COURT,4655 S LAKE PARK AVE,60653,65,45,,1994,1995,41.810611,-87.593198,hud_source
ILB19950035,MAJOR JENKINS APTS,5012 N WINTHROP AVE,60640,160,160,,1993,1995,41.973512,-87.65796,hud_source
ILB19950040,MENARD APTS,334 N MENARD AVE,60644,57,57,,1994,1995,41.886682,-87.770168,hud_source
ILB19950045,PRAIRIE APTS,6034 S PRAIRIE AVE,60637,33,33,,1993,1995,41.785,-87.619185,hud_source
ILB19950055,SENIOR SUITES OF BELMONT,6037 W GRAND AVE,60639,86,86,,1993,1995,41.920651,-87.776905,hud_source
ILB19950060,SENIOR SUTIES OF GAGE PARK,3244 W 59TH ST,60629,86,86,503340,1994,1995,41.786393,-87.704567,hud_source
ILB19950065,ST EDMUND'S CORNERS,5700 S MICHIGAN AVE,60637,50,50,,1993,1995,41.791085,-87.622584,hud_source
ILB19950070,WABASH COURT,5606 S WABASH AVE,60637,51,51,,1993,1995,41.792784,-87.624237,hud_source
ILB19950800,SENIOR SUITES OF BELMONT CRAGIN,6045 W GRAND AVE,60639,84,86,463052,1993,1995,41.920678,-87.777052,hud_source
ILB19950803,LAZARUS,3935 W 19TH ST,60623,45,45,,1994,1995,41.854861,-87.723789,hud_source
ILB19950804,WESTSIDE VILLAGE PHASE I,3607 W POLK ST,60624,50,3,,1994,1995,41.870685,-87.715719,hud_source
