sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
exelon-2025-021,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Defender Charities,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-022,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Federation of Labor Workforce and Community Initiative,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-023,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Football Classic Scholarship Fund,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-024,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Foundation for Women,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-025,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Fund on Aging and Disability,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-026,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago High School for Agricultural Sciences,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-027,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Horticultural Society,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-028,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Humanities,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-029,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Loop Alliance,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
exelon-2025-030,Exelon 2025 Grant Recipients,https://www.exeloncorp.com/content/dam/exelon/community/Documents/Grant%20Recipients.pdf,,2026-08-24,Exelon / Exelon utilities / Exelon Foundation (roster does not attribute per row),,Exelon Corporation,unknown,Chicago Loop Alliance Foundation,2025,,unavailable,unknown,,,,,,unavailable,,,,clear,ready,count-only roster; payer not attributed per row (Exelon vs. utilities vs. Exelon Foundation) — never distribute the aggregate across names; vehicle unresolved (HOLD candidate for a future dollar release).
