sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
comcast-rise-2021-022,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Foremost Cleaners,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-023,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Fortune Nomads, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-024,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Gina's Unbelievable Learning Center,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-025,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Gobble Doggs,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-026,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Holt Health Care Management Services, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-027,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Image Showcase,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-028,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Impormex USA Marketing Group,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-029,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Inner Vision International, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-030,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Jasmin Nail and Spa,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-031,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"J-Gar Restaurant, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-032,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Jili, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-033,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Jina Foods, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-034,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"K.A.M Alliance, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-035,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"KFA, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-036,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Lenore's Kitchen Catering, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-037,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Little Green Leaf, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
