legal_business_name,dba,published_municipality,county,historical_grant_amount_usd,source_url,source_version,source_status,source_precision,program_name,assistance_type,award_status,program_status,record_note
IL VICINATO INC,,CHICAGO,Cook,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
INS DEARBORN INC,,CHICAGO,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
JASLIN HOTEL LLC,,CHICAGO,Cook,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Jbsomt dba one more time SPORTS bar,One More Tine Sports Bar,Joliet,Will,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
"Johnson Peoria Ventures, LLC",Hampton Inn East Peoria,East Peoria,Tazewell,50000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Judy's Pizzeria,,Highland Park,Lake,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
K&R Patrick LLC dba Patrick's Bar & Grill,Patrick's Bar & Grill,Granite City,Madison,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Koffee Kup Restaurant,,Lake Zurich,Lake,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Light House Pub & Grill Inc,,Winthrop Harbor,Lake,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Lucila's Homemade LLC,Lucila's Alfajores,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
