foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Circle of Service Foundation,2023,FRIENDS OF THE ISRAEL DEFENSE FORCES,29 E MADISON ST SUITE 1010,CHICAGO,IL,60602,25000,JEWISH COMMUNITY,990-PF,41.882019849846,-87.626770185583,sited
Circle of Service Foundation,2023,GARFIELD PARK CONSERVATORY ALLIANCE,300 N CENTRAL PARK AVE,CHICAGO,IL,60624,275000,COMMUNITY SERVICES,990-PF,41.887647922265,-87.716238737568,sited
Circle of Service Foundation,2023,GARRIDO STRAY RESCUE FOUNDATION,5310 N HARLEM AVE SUITE 210,CHICAGO,IL,60656,100,MATCH/DISCRETIONARY,990-PF,41.976453608153,-87.807107307786,sited
Circle of Service Foundation,2023,GILDAS CLUB CHICAGO,537 N WELLS ST,CHICAGO,IL,60654,25000,COMMUNITY SERVICES,990-PF,41.891709241727,-87.633996264031,sited
Circle of Service Foundation,2023,GILDAS CLUB CHICAGO,537 N WELLS ST,CHICAGO,IL,60654,3600,MATCH/DISCRETIONARY,990-PF,41.891709241727,-87.633996264031,sited
Circle of Service Foundation,2023,GIRLFORWARD,PO BOX 607516,CHICAGO,IL,60660,6000,MATCH/DISCRETIONARY,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION,1159 W 79TH ST,CHICAGO,IL,60620,150000,COMMUNITY SERVICES,990-PF,41.750444196322,-87.653143162025,sited
Circle of Service Foundation,2023,GREATER CHICAGO FOOD DEPOSITORY,4100 W ANN LURIE PL,CHICAGO,IL,60632,100000,COMMUNITY SERVICES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,GREATER CHICAGO FOOD DEPOSITORY,4100 W ANN LURIE PL,CHICAGO,IL,60632,18000,MATCH/DISCRETIONARY,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,HEALING TO ACTION NFP,332 N MICHIGAN AVE LOWER SUITE H696,CHICAGO,IL,60604,20000,COMMUNITY SERVICES,990-PF,41.887335668514,-87.624626212034,sited
Circle of Service Foundation,2023,HEALTH AND MEDICINE POLICY RESEARCH GROUP,29 E MADISON ST SUITE 602,CHICAGO,IL,60602,40000,COMMUNITY SERVICES,990-PF,41.882019849846,-87.626770185583,sited
Circle of Service Foundation,2023,HEALTHY SCHOOLS CAMPAIGN,190 SOUTH LASALLE AVE SUITE 1508,CHICAGO,IL,60603,35000,COMMUNITY SERVICES,990-PF,41.879514148711,-87.63237315861,sited
Circle of Service Foundation,2023,HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,111 W JACKSON BLVD SUITE 800,CHICAGO,IL,60604,70000,COMMUNITY SERVICES,990-PF,41.878077850822,-87.632179297711,sited
